I0420 14:15:29.861917 IO-3 EL     (1522896) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/worker_manager.cpp:22] WorkerManager: Launcher of func_id 4 connected
I0420 14:15:29.861971 IO-3 EL     (1522896) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/worker_manager.cpp:130] WorkerManager: Request new FuncWorker for func_id 4 with client_id 3
I0420 14:15:29.862077 IO-3 EL     (1522896) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/worker_manager.cpp:130] WorkerManager: Request new FuncWorker for func_id 4 with client_id 4
I0420 14:15:29.862193 IO-3 EL     (1522896) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/message_connection.cpp:267] LauncherConnection[4]: Handshake done
I0420 14:15:29.880823 Server EL   (1522897) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/engine.cpp:746] Engine: New message connection
I0420 14:15:29.880915 Server EL   (1522897) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/engine.cpp:746] Engine: New message connection
I0420 14:15:29.880950 IO-0 EL     (1522893) /home/lgw/Lumine-benchmarks/Lumine/lib/server/io_worker.cpp:212] IO-0: New connection of type 1, total of type 1 is 2
I0420 14:15:29.881056 IO-0 EL     (1522893) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/engine.cpp:289] Engine: Receive new handshake message from message connection
I0420 14:15:29.881041 IO-1 EL     (1522894) /home/lgw/Lumine-benchmarks/Lumine/lib/server/io_worker.cpp:212] IO-1: New connection of type 1, total of type 1 is 2
I0420 14:15:29.881084 IO-0 EL     (1522893) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/worker_manager.cpp:59] WorkerManager: FuncWorker of func_id 4, client_id 4 connected
I0420 14:15:29.881169 IO-1 EL     (1522894) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/engine.cpp:289] Engine: Receive new handshake message from message connection
I0420 14:15:29.881208 IO-1 EL     (1522894) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/worker_manager.cpp:59] WorkerManager: FuncWorker of func_id 4, client_id 3 connected
I0420 14:15:29.881218 IO-0 EL     (1522893) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/dispatcher.cpp:46] Dispatcher[4]: min_workers=2
I0420 14:15:29.881277 IO-0 EL     (1522893) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/dispatcher.cpp:50] Dispatcher[4]: max_workers=2
I0420 14:15:29.944854 IO-0 EL     (1522893) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/message_connection.cpp:267] FuncWorkerConnection[4-4]: Handshake done
I0420 14:15:29.944888 IO-1 EL     (1522894) /home/lgw/Lumine-benchmarks/Lumine/src/host/engine/message_connection.cpp:267] FuncWorkerConnection[4-3]: Handshake done
I0420 14:15:49.565922 IO-1 EL     (1522894) /home/lgw/Lumine-benchmarks/Lumine/lib/common/stat.h:265] incoming_requests[2] counter: value=20, rate=2.1077 per sec
I0420 14:15:50.060972 IO-1 EL     (1522894) /home/lgw/Lumine-benchmarks/Lumine/lib/common/stat.h:265] incoming_requests[4] counter: value=21, rate=2.1 per sec
I0420 14:15:50.560439 IO-1 EL     (1522894) /home/lgw/Lumine-benchmarks/Lumine/lib/common/stat.h:265] incoming_external_requests counter: value=43, rate=4.09524 per sec
I0420 14:15:59.066354 IO-0 EL     (1522893) /home/lgw/Lumine-benchmarks/Lumine/lib/common/stat.h:265] incoming_requests[2] counter: value=39, rate=2 per sec
I0420 14:16:00.060570 IO-1 EL     (1522894) /home/lgw/Lumine-benchmarks/Lumine/lib/common/stat.h:265] incoming_requests[4] counter: value=41, rate=2.0002 per sec
I0420 14:16:01.060447 IO-1 EL     (1522894) /home/lgw/Lumine-benchmarks/Lumine/lib/common/stat.h:265] incoming_external_requests counter: value=85, rate=4 per sec
I0420 14:16:08.566382 IO-3 EL     (1522896) /home/lgw/Lumine-benchmarks/Lumine/lib/common/stat.h:265] incoming_requests[2] counter: value=58, rate=2 per sec
